Departamento ,Total Personas de 5 años y más,Total Usó internet en cualquier lugar
Amazonas,74,32
Antioquia,6505,4791
Arauca,277,172
Atlantico,2621,1970
Bogota DC,7510,6332
Bolivar,2057,1394
Boyaca,1179,781
Caldas,977,733
Caqueta,384,244
Casanare,408,300
Cauca,1408,867
Cesar,1228,847
Choco,497,248
Cordoba,1709,936
Cundinamarca,3273,2543
Guainia,45,17
Guaviare,82,45
Huila,1048,768
La Guajira,898,439
Magdalena,1345,851
Meta,1003,828
Nariño,1516,936
Norte de Santander,1530,1110
Putumayo,339,175
Quindio,542,416
Risaralda,930,678
San Andres,40,28
Santander,2177,1662
Sucre,895,525
Tolima,1269,913
Valle,4313,3506
Vaupes,42,9
Vichada,106,14
