ubicacion,TOTAL_PROCESOS,coordenadas
"ABEJORRAL, ANTIOQUIA",22,"Abejorral, Oriente, Antioquia, RAP del Agua y la Montaña, 055030, Colombia"
"ABREGO, NORTE DE SANTANDER",22,"Abrego, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"ABRIAQUÍ, ANTIOQUIA",1,"Abriaquí, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"ACACÍAS, META",367,"Acacías, Piedemonte, Meta, RAP (Especial) Central, 507001, Colombia"
"ACANDÍ, CHOCÓ",3,"Acandí, Darién, Chocó, RAP Pacífico, 278017, Colombia"
"ACEVEDO, HUILA",17,"Acevedo, Sur, Huila, RAP (Especial) Central, Colombia"
"ACHÍ, BOLÍVAR",10,"Achí, Mojana, Bolívar, RAP Caribe, Colombia"
"AGRADO, HUILA",12,"Agrado, Centro, Huila, RAP (Especial) Central, Colombia"
"AGUA DE DIOS, CUNDINAMARCA",56,"Agua de Dios, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"AGUACHICA, CESAR",215,"Aguachica, Cesar, RAP Caribe, 205010, Colombia"
"AGUADA, SANTANDER",1,"Aguada, Vélez, Santander, RAP Gran Santander, Colombia"
"AGUADAS, CALDAS",15,"Aguadas, Norte, Caldas, RAP Eje Cafetero, Colombia"
"AGUAZUL, CASANARE",94,"Aguazul, Casanare, RAP Llanos, 856010, Colombia"
"AGUSTÍN CODAZZI, CESAR",88,"Agustín Codazzi, Cesar, RAP Caribe, 202050, Colombia"
"AIPE, HUILA",29,"Aipe, Norte, Huila, RAP (Especial) Central, Colombia"
"ALBANIA, CAQUETÁ",5,"Albania, Caquetá, RAP Amazonía, Colombia"
"ALBANIA, LA GUAJIRA",22,"Albania, La Guajira, RAP Caribe, Colombia"
"ALBANIA, SANTANDER",5,"Albania, Vélez, Santander, RAP Gran Santander, Colombia"
"ALBÁN, CUNDINAMARCA",11,"Albán, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"ALBÁN, NARIÑO",9,"Albán (San José), Río Mayo, Nariño, RAP Pacífico, Colombia"
"ALCALÁ, VALLE DEL CAUCA",17,"Alcalá, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"ALDANA, NARIÑO",4,"Aldana, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"ALEJANDRÍA, ANTIOQUIA",3,"Alejandría, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"ALGARROBO, MAGDALENA",14,"Algarrobo, Magdalena, RAP Caribe, 422740, Colombia"
"ALGECIRAS, HUILA",33,"Algeciras, Norte, Huila, RAP (Especial) Central, 413040, Colombia"
"ALMAGUER, CAUCA",5,"Almaguer, Macizo, Cauca, RAP Pacífico, Colombia"
"ALPUJARRA, TOLIMA",5,"Alpujarra, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"ALTAMIRA, HUILA",7,"Altamira, Centro, Huila, RAP (Especial) Central, Colombia"
"ALTO BAUDO, CHOCÓ",3,"Alto Baudó (Pie de Pató), Pacífico Sur, Chocó, RAP Pacífico, Colombia"
"ALTOS DEL ROSARIO, BOLÍVAR",1,"Altos del Rosario, Bolívar, RAP Caribe, Colombia"
"ALVARADO, TOLIMA",15,"Alvarado, Centro, Tolima, RAP (Especial) Central, Colombia"
"AMAGÁ, ANTIOQUIA",49,"Amagá, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"AMALFI, ANTIOQUIA",19,"Amalfi, Nordeste, Antioquia, RAP del Agua y la Montaña, 052840, Colombia"
"AMBALEMA, TOLIMA",8,"Ambalema, Nevados, Tolima, RAP (Especial) Central, Colombia"
"ANAPOIMA, CUNDINAMARCA",79,"Anapoima, Tequendama, Cundinamarca, RAP (Especial) Central, Colombia"
"ANCUYÁ, NARIÑO",5,"Ancuya, Occidente, Nariño, RAP Pacífico, Colombia"
"ANDALUCÍA, VALLE DEL CAUCA",48,"Andalucía, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"ANDES, ANTIOQUIA",45,"Andes, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"ANGELÓPOLIS, ANTIOQUIA",9,"Angelópolis, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"ANGOSTURA, ANTIOQUIA",6,"Angostura, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"ANOLAIMA, CUNDINAMARCA",45,"Anolaima, Tequendama, Cundinamarca, RAP (Especial) Central, Colombia"
