Departamento,Total Personas 2020,Total Uso internet 2020,% 2020,Total Personas 2021,Total Uso internet 2021,% 2021,Total Personas 2022,Total Uso internet 2022,% 2022,Total Personas 2023,Total Uso internet 2023,% 2023
AMAZONAS,70,22,31.4,73,25,34.2,74,32,43.2,76,30,39.5
ANTIOQUIA,6274,4500,71.7,6345,4758,75.0,6505,4791,73.7,6615,5350,80.9
ARAUCA,266,162,60.9,274,182,66.4,277,172,62.1,282,186,66.0
ATLÁNTICO,2521,1921,76.2,2575,1961,76.2,2621,1970,75.2,2660,2144,80.6
BOGOTÁ D.C.,7305,6363,87.1,7421,6373,85.9,7510,6332,84.3,7580,6508,85.9
BOLÍVAR,1998,1147,57.4,2041,1335,65.4,2057,1394,67.8,2086,1443,69.2
BOYACÁ,1163,734,63.1,1170,800,68.4,1179,781,66.2,1194,811,67.9
CALDAS,962,679,70.6,966,708,73.3,977,733,75.0,995,763,76.7
CAQUETÁ,373,218,58.4,377,242,64.2,384,244,63.5,386,279,72.3
CASANARE,399,272,68.2,403,277,68.7,408,300,73.5,410,310,75.6
CAUCA,1388,757,54.5,1395,853,61.1,1408,867,61.6,1427,941,65.9
CESAR,1174,775,66.0,1208,777,64.3,1228,847,69.0,1236,927,75.0
CHOCÓ,489,200,40.9,495,223,45.1,497,248,49.9,501,218,43.5
CUNDINAMARCA,3059,2239,73.2,3179,2536,79.8,3273,2543,77.7,3371,2816,83.5
CÓRDOBA,1690,808,47.8,1695,978,57.7,1709,936,54.8,1726,1165,67.5
GUAINÍA,43,13,30.2,45,15,33.3,45,17,37.8,45,24,53.3
GUAVIARE,78,40,51.3,80,47,58.8,82,45,54.9,84,61,72.6
HUILA,1026,670,65.3,1038,741,71.4,1048,768,73.3,1060,822,77.5
LA GUAJIRA,864,351,40.6,880,387,44.0,898,439,48.9,912,480,52.6
MAGDALENA,1307,739,56.5,1319,831,63.0,1345,851,63.3,1358,979,72.1
META,984,757,76.9,993,787,79.3,1003,828,82.6,1008,874,86.7
NARIÑO,1505,798,53.0,1511,919,60.8,1516,936,61.7,1523,1005,66.0
NORTE DE SANTANDER,1487,1010,67.9,1513,1062,70.2,1530,1110,72.5,1535,1142,74.4
PUTUMAYO,330,147,44.5,334,176,52.7,339,175,51.6,342,203,59.4
QUINDÍO,526,384,73.0,533,403,75.6,542,416,76.8,552,445,80.6
RISARALDA,902,702,77.8,915,730,79.8,930,678,72.9,937,736,78.5
SAN ANDRÉS,39,30,76.9,40,34,85.0,40,28,70.0,41,28,68.3
SANTANDER,2141,1578,73.7,2163,1617,74.8,2177,1662,76.3,2208,1786,80.9
SUCRE,873,423,48.5,888,489,55.1,895,525,58.7,904,604,66.8
TOLIMA,1259,856,68.0,1258,883,70.2,1269,913,71.9,1267,965,76.2
VALLE,4227,3384,80.1,4272,3539,82.8,4313,3506,81.3,4353,3686,84.7
VAUPÉS,39,8,20.5,41,9,22.0,42,9,21.4,45,15,33.3
VICHADA,99,18,18.2,99,17,17.2,106,14,13.2,107,15,14.0
